%Barred Bathymetry used in the 2004 REU experiment
%File compiled from east and west wall surveys, interpolated onto 0.1 m grid - Jason Magalen
%x=0 : Wavemaker, positive onshore ; z=0 : SWL positive up
%x [m]      z [m]
26.92	 -1.920
27.02	 -1.911
27.12	 -1.902
27.22	 -1.893
27.32	 -1.886
27.42	 -1.884
27.52	 -1.883
27.62	 -1.881
27.72	 -1.879
27.82	 -1.878
27.92	 -1.876
28.02	 -1.874
28.12	 -1.872
28.22	 -1.870
28.32	 -1.868
28.42	 -1.866
28.52	 -1.864
28.62	 -1.862
28.72	 -1.859
28.82	 -1.857
28.92	 -1.855
29.02	 -1.853
29.12	 -1.850
29.22	 -1.847
29.32	 -1.844
29.42	 -1.840
29.52	 -1.837
29.62	 -1.834
29.72	 -1.831
29.82	 -1.827
29.92	 -1.824
30.02	 -1.821
30.12	 -1.818
30.22	 -1.814
30.32	 -1.811
30.42	 -1.808
30.52	 -1.804
30.62	 -1.801
30.72	 -1.797
30.82	 -1.793
30.92	 -1.789
31.02	 -1.786
31.12	 -1.784
31.22	 -1.781
31.32	 -1.779
31.42	 -1.776
31.52	 -1.774
31.62	 -1.771
31.72	 -1.769
31.82	 -1.766
31.92	 -1.764
32.02	 -1.761
32.12	 -1.759
32.22	 -1.757
32.32	 -1.754
32.42	 -1.752
32.52	 -1.749
32.62	 -1.747
32.72	 -1.744
32.82	 -1.741
32.92	 -1.738
33.02	 -1.735
33.12	 -1.732
33.22	 -1.729
33.32	 -1.725
33.42	 -1.722
33.52	 -1.719
33.62	 -1.716
33.72	 -1.712
33.82	 -1.708
33.92	 -1.704
34.02	 -1.700
34.12	 -1.696
34.22	 -1.692
34.32	 -1.688
34.42	 -1.684
34.52	 -1.680
34.62	 -1.676
34.72	 -1.674
34.82	 -1.672
34.92	 -1.671
35.02	 -1.669
35.12	 -1.667
35.22	 -1.665
35.32	 -1.664
35.42	 -1.662
35.52	 -1.660
35.62	 -1.659
35.72	 -1.657
35.82	 -1.655
35.92	 -1.654
36.02	 -1.652
36.12	 -1.650
36.22	 -1.649
36.32	 -1.647
36.42	 -1.645
36.52	 -1.642
36.62	 -1.639
36.72	 -1.637
36.82	 -1.634
36.92	 -1.632
37.02	 -1.629
37.12	 -1.627
37.22	 -1.624
37.32	 -1.622
37.42	 -1.619
37.52	 -1.615
37.62	 -1.612
37.72	 -1.609
37.82	 -1.606
37.92	 -1.603
38.02	 -1.600
38.12	 -1.594
38.22	 -1.588
38.32	 -1.580
38.42	 -1.573
38.52	 -1.565
38.62	 -1.557
38.72	 -1.549
38.82	 -1.541
38.92	 -1.534
39.02	 -1.526
39.12	 -1.519
39.22	 -1.512
39.32	 -1.504
39.42	 -1.497
39.52	 -1.490
39.62	 -1.482
39.72	 -1.475
39.82	 -1.468
39.92	 -1.460
40.02	 -1.452
40.12	 -1.442
40.22	 -1.433
40.32	 -1.424
40.42	 -1.414
40.52	 -1.405
40.62	 -1.395
40.72	 -1.386
40.82	 -1.376
40.92	 -1.367
41.02	 -1.357
41.12	 -1.348
41.22	 -1.339
41.32	 -1.329
41.42	 -1.320
41.52	 -1.311
41.62	 -1.302
41.72	 -1.292
41.82	 -1.283
